S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S
S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S
S S G G G G G G G G G G G G S S S S G G G G G G G G G G G G G G G G G G G S S S
S S G G G G G G G G G G G G S S S S G G G G G G G G G G G G G G G G G G G S S S
S S G G G G G G G G G G G G G G G G G G G G G G G G G S S S G G G G S S S S S S
S S S S G G G G G G G S S S G G G G G G G G G S G G S S S S S S G G G S S S S S
S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S
S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S
S S S S S E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E S S S S
S S S S S E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E E S S S S
S S S S E E E E E E E F F F F F F F F F F F F F F F F F F F F F F F F F F S S S
S S S S F F F F F F F F F F F F F F F E E E E E E E F F F F C C C C C F F S S S
S S S S S E E E E E E E E E E E E F F F F F F F F F F F E E E E S S S S S S S S
S S S S S E E E E E E E E E E E E F F F F F F F F F F F E E E E S S S S S S S S
S S S S S S S C C C C C C C C C C C C C C C C C C C C C C F F E S S S S S S S S
S S S S S S S S S C C C C F F F F C C C C C C S C C E E E F F E S S S S S S S S
S S S S S S S C C C C C C F F F F C C C C C C C S S S F F F E E S S S S S S S S
S S S S S S C C C C C C C F F F F C C C C C C C S S S S E E F F F F S S S S S S
S S S S S S S C C C C C C C C C C C C C C C S S S S C C C C C C C C S S S S S S
S S S S S S S S S C C C C C C C C C C C C S S S S S S C C C C C C C C S S S S S
S S S S S S S S S F F F F F C C C C F F F S S S S S E C C C C C C C C E S S S S
S S S S S S S S S F F F F F C C C C F F F S S S S S E C C C C C C C C E S S S S
S S S S S S S S S E E E E E E E E E E E E E S S S S E C C C C C C E E E E S S S
S E E E E E S S S E E E E E E E E E E E E E S S S S E E E E E E E E E E E S S S
S E E E E E S S S E E E E E E E E E E E E E S S S S E E E E E E E E E E E S S S
S E F F F E S S S S S S S S S S S S S S S S S S S S S S E E F F F F E E S S S S
S E F F F E S S S S S S S S S S E E E E E C C C S S S S S S F F F F E E E S S S
S E E E E E S S S S S S S S S S E E E C C C C C S S S S E E E F F F F E E S S S
S S S S S S S S S S S S S S S S S E C C C C S S S S S S S S F F F E E E E S S S
S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S F F E E S S S S S S
S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S F F E E S S S S S S
S S S S S S G G G G G G G G G G G G G S S S G G G S S G S S S S E S S S S S S S
S S S S S G G G G G G G G G G G G G G S S S G G S S S G S S S S S S S S S S S S
S S S S S G G G G G G G G G G G G G G S S S G G S S S G S S S S S S S S S S S S
S S S S S G G G G G G G G G G G G G G S S S G G S S S G S S S S S S S S S S S S
S S S S S S S S G G G G G G G G G G G S S S G S S S S G G G G G G G G S S S S S
S S S S S S S S S G G G G G G G G S S S S S S S S S S S S S G G G G S S S S S S
S S S S S S S S S S S S G G S S S S S S S S S S S S S S S S S S G G S S S S S S
S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S
S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S
